"ID";"Reason.for.absence";"Month.of.absence";"Day.of.the.week";"Seasons";"Transportation.expense";"Distance.from.Residence.to.Work";"Service.time";"Age";"Work.load.Average.day";"Hit.target";"Disciplinary.failure";"Education";"Son";"Social.drinker";"Social.smoker";"Pet";"Weight";"Height";"Body.mass.index";"ID.Worker";"Absenteeism"
"1";"1";26;7;3;1;289;36;13;33;239.554;97;0;1;2;1;0;1;90;172;30;11;FALSE
"2";"2";0;7;3;1;118;13;18;50;239.554;97;1;1;1;1;0;0;98;178;31;36;FALSE
"3";"3";23;7;4;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;FALSE
"4";"4";7;7;5;1;279;5;14;39;239.554;97;0;1;2;1;1;0;68;168;24;7;FALSE
"5";"5";23;7;5;1;289;36;13;33;239.554;97;0;1;2;1;0;1;90;172;30;11;FALSE
"7";"7";22;7;6;1;361;52;3;28;239.554;97;0;1;1;1;0;4;80;172;27;10;TRUE
"9";"9";19;7;2;1;155;12;14;34;239.554;97;0;1;2;1;0;0;95;196;25;14;TRUE
"10";"10";22;7;2;1;235;11;14;37;239.554;97;0;3;1;0;0;1;88;172;29;1;TRUE
"11";"11";1;7;2;1;260;50;11;36;239.554;97;0;1;4;1;0;0;65;168;23;20;TRUE
"12";"12";1;7;3;1;260;50;11;36;239.554;97;0;1;4;1;0;0;65;168;23;20;TRUE
"13";"13";11;7;4;1;260;50;11;36;239.554;97;0;1;4;1;0;0;65;168;23;20;TRUE
"14";"14";11;7;4;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;FALSE
"15";"15";23;7;4;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;FALSE
"18";"18";21;7;2;1;179;51;18;38;239.554;97;0;1;0;1;0;0;89;170;31;3;TRUE
"19";"19";11;7;5;1;189;29;13;33;239.554;97;0;1;2;0;0;2;69;167;25;6;TRUE
"20";"20";23;8;4;1;248;25;14;47;205.917;92;0;1;2;0;0;1;86;165;32;33;FALSE
"23";"23";13;8;2;1;361;52;3;28;205.917;92;0;1;1;1;0;4;80;172;27;10;TRUE
"24";"24";28;8;6;1;260;50;11;36;205.917;92;0;1;4;1;0;0;65;168;23;20;FALSE
"25";"25";18;8;2;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;TRUE
"26";"26";25;8;2;1;361;52;3;28;205.917;92;0;1;1;1;0;4;80;172;27;10;TRUE
"27";"27";23;8;3;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;FALSE
"28";"28";28;8;4;1;157;27;6;29;205.917;92;0;1;0;1;1;0;75;185;22;30;FALSE
"29";"29";18;8;4;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;TRUE
"30";"30";23;8;6;1;179;51;18;38;205.917;92;0;1;0;1;0;0;89;170;31;3;FALSE
"31";"31";18;8;2;1;179;51;18;38;205.917;92;0;1;0;1;0;0;89;170;31;3;TRUE
"32";"32";18;8;5;1;235;29;12;48;205.917;92;0;1;1;0;1;5;88;163;33;2;TRUE
"34";"34";18;8;2;1;235;29;12;48;205.917;92;0;1;1;0;1;5;88;163;33;2;TRUE
"36";"36";23;8;2;1;361;52;3;28;205.917;92;0;1;1;1;0;4;80;172;27;10;FALSE
"37";"37";24;8;3;1;289;36;13;33;205.917;92;0;1;2;1;0;1;90;172;30;11;TRUE
"38";"38";11;8;5;1;291;50;12;32;205.917;92;0;1;0;1;0;0;65;169;23;19;FALSE
"39";"39";28;8;6;1;235;29;12;48;205.917;92;0;1;1;0;1;5;88;163;33;2;TRUE
"40";"40";23;8;6;1;260;50;11;36;205.917;92;0;1;4;1;0;0;65;168;23;20;FALSE
"41";"41";23;9;3;1;184;42;7;27;241.476;92;0;1;0;0;0;0;58;167;21;27;FALSE
"42";"42";23;9;2;1;118;10;10;37;241.476;92;0;1;0;0;0;0;83;172;28;34;FALSE
"43";"43";23;9;3;1;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"45";"45";23;9;4;1;155;12;14;34;241.476;92;0;1;2;1;0;0;95;196;25;14;FALSE
"47";"47";23;9;3;1;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"50";"50";14;9;2;4;291;31;12;40;241.476;92;0;1;1;1;0;1;73;171;25;15;TRUE
"51";"51";0;9;2;4;260;50;11;36;241.476;92;1;1;4;1;0;0;65;168;23;20;FALSE
"52";"52";0;9;2;4;225;26;9;28;241.476;92;1;1;1;0;0;2;69;169;24;29;FALSE
"53";"53";23;9;3;4;225;26;9;28;241.476;92;0;1;1;0;0;2;69;169;24;28;FALSE
"54";"54";23;9;3;4;118;10;10;37;241.476;92;0;1;0;0;0;0;83;172;28;34;FALSE
"55";"55";0;9;3;4;289;36;13;33;241.476;92;1;1;2;1;0;1;90;172;30;11;FALSE
"56";"56";0;9;3;4;118;13;18;50;241.476;92;1;1;1;1;0;0;98;178;31;36;FALSE
"57";"57";18;9;4;4;225;26;9;28;241.476;92;0;1;1;0;0;2;69;169;24;28;FALSE
"58";"58";23;9;4;4;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"59";"59";0;9;4;4;369;17;12;31;241.476;92;1;1;3;1;0;0;70;169;25;13;FALSE
"60";"60";23;9;6;4;248;25;14;47;241.476;92;0;1;2;0;0;1;86;165;32;33;FALSE
"61";"61";23;9;6;4;179;51;18;38;241.476;92;0;1;0;1;0;0;89;170;31;3;FALSE
"62";"62";23;9;6;4;260;50;11;36;241.476;92;0;1;4;1;0;0;65;168;23;20;FALSE
"63";"63";23;10;3;4;179;51;18;38;253.465;93;0;1;0;1;0;0;89;170;31;3;FALSE
